external_urls,followers,genres,href,id,images,name,popularity,type,uri
{'spotify': 'https://open.spotify.com/artist/0TnOYISbd1XYRBk9myaseg'},"{'href': None, 'total': 11334187}",[],https://api.spotify.com/v1/artists/0TnOYISbd1XYRBk9myaseg,0TnOYISbd1XYRBk9myaseg,"[{""url"": ""https://i.scdn.co/image/ab6761610000e5eb4051627b19277613e0e62a34"", ""height"": 640, ""width"": 640}, {""url"": ""https://i.scdn.co/image/ab676161000051744051627b19277613e0e62a34"", ""height"": 320, ""width"": 320}, {""url"": ""https://i.scdn.co/image/ab6761610000f1784051627b19277613e0e62a34"", ""height"": 160, ""width"": 160}]",Pitbull,85,artist,spotify:artist:0TnOYISbd1XYRBk9myaseg
{'spotify': 'https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s'},"{'href': None, 'total': 81060408}",[],https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s,1uNFoZAHBGtllmzznpCI3s,"[{""url"": ""https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36"", ""height"": 640, ""width"": 640}, {""url"": ""https://i.scdn.co/image/ab676161000051748ae7f2aaa9817a704a87ea36"", ""height"": 320, ""width"": 320}, {""url"": ""https://i.scdn.co/image/ab6761610000f1788ae7f2aaa9817a704a87ea36"", ""height"": 160, ""width"": 160}]",Justin Bieber,90,artist,spotify:artist:1uNFoZAHBGtllmzznpCI3s
{'spotify': 'https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY'},"{'href': None, 'total': 62735342}","[""soft pop""]",https://api.spotify.com/v1/artists/4dpARuHxo51G3z768sgnrY,4dpARuHxo51G3z768sgnrY,"[{""url"": ""https://i.scdn.co/image/ab6761610000e5eb68f6e5892075d7f22615bd17"", ""height"": 640, ""width"": 640}, {""url"": ""https://i.scdn.co/image/ab6761610000517468f6e5892075d7f22615bd17"", ""height"": 320, ""width"": 320}, {""url"": ""https://i.scdn.co/image/ab6761610000f17868f6e5892075d7f22615bd17"", ""height"": 160, ""width"": 160}]",Adele,85,artist,spotify:artist:4dpARuHxo51G3z768sgnrY
{'spotify': 'https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V'},"{'href': None, 'total': 119310823}","[""soft pop""]",https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V,6eUKZXaKkcviH0Ku9w2n3V,"[{""url"": ""https://i.scdn.co/image/ab6761610000e5eb784daff754ecfe0464ddbeb9"", ""height"": 640, ""width"": 640}, {""url"": ""https://i.scdn.co/image/ab67616100005174784daff754ecfe0464ddbeb9"", ""height"": 320, ""width"": 320}, {""url"": ""https://i.scdn.co/image/ab6761610000f178784daff754ecfe0464ddbeb9"", ""height"": 160, ""width"": 160}]",Ed Sheeran,87,artist,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
{'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'},"{'href': None, 'total': 133325329}",[],https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,06HL4z0CvFAxyc27GXpf02,"[{""url"": ""https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676"", ""height"": 640, ""width"": 640}, {""url"": ""https://i.scdn.co/image/ab67616100005174e672b5f553298dcdccb0e676"", ""height"": 320, ""width"": 320}, {""url"": ""https://i.scdn.co/image/ab6761610000f178e672b5f553298dcdccb0e676"", ""height"": 160, ""width"": 160}]",Taylor Swift,97,artist,spotify:artist:06HL4z0CvFAxyc27GXpf02
{'spotify': 'https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg'},"{'href': None, 'total': 38640473}","[""hip hop"", ""west coast hip hop""]",https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg,2YZyLoL8N0Wb9xBt1NhZWg,"[{""url"": ""https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918"", ""height"": 640, ""width"": 640}, {""url"": ""https://i.scdn.co/image/ab6761610000517439ba6dcd4355c03de0b50918"", ""height"": 320, ""width"": 320}, {""url"": ""https://i.scdn.co/image/ab6761610000f17839ba6dcd4355c03de0b50918"", ""height"": 160, ""width"": 160}]",Kendrick Lamar,97,artist,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
{'spotify': 'https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ'},"{'href': None, 'total': 100800454}",[],https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ,1Xyo4u8uXC1ZmMpatF05PJ,"[{""url"": ""https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae"", ""height"": 640, ""width"": 640}, {""url"": ""https://i.scdn.co/image/ab676161000051749e528993a2820267b97f6aae"", ""height"": 320, ""width"": 320}, {""url"": ""https://i.scdn.co/image/ab6761610000f1789e528993a2820267b97f6aae"", ""height"": 160, ""width"": 160}]",The Weeknd,97,artist,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
{'spotify': 'https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX'},"{'href': None, 'total': 78060818}","[""k-pop""]",https://api.spotify.com/v1/artists/3Nrfpe0tUJi4K4DXYWgMUX,3Nrfpe0tUJi4K4DXYWgMUX,"[{""url"": ""https://i.scdn.co/image/ab6761610000e5ebd642648235ebf3460d2d1f6a"", ""height"": 640, ""width"": 640}, {""url"": ""https://i.scdn.co/image/ab67616100005174d642648235ebf3460d2d1f6a"", ""height"": 320, ""width"": 320}, {""url"": ""https://i.scdn.co/image/ab6761610000f178d642648235ebf3460d2d1f6a"", ""height"": 160, ""width"": 160}]",BTS,86,artist,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX
{'spotify': 'https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4'},"{'href': None, 'total': 96576011}","[""rap"", ""hip hop""]",https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4,3TVXtAsR1Inumwj472S9r4,"[{""url"": ""https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9"", ""height"": 640, ""width"": 640}, {""url"": ""https://i.scdn.co/image/ab676161000051744293385d324db8558179afd9"", ""height"": 320, ""width"": 320}, {""url"": ""https://i.scdn.co/image/ab6761610000f1784293385d324db8558179afd9"", ""height"": 160, ""width"": 160}]",Drake,97,artist,spotify:artist:3TVXtAsR1Inumwj472S9r4
{'spotify': 'https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH'},"{'href': None, 'total': 108236890}",[],https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH,6qqNVTkY8uBg9cP3Jd7DAH,"[{""url"": ""https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da"", ""height"": 640, ""width"": 640}, {""url"": ""https://i.scdn.co/image/ab676161000051744a21b4760d2ecb7b0dcdc8da"", ""height"": 320, ""width"": 320}, {""url"": ""https://i.scdn.co/image/ab6761610000f1784a21b4760d2ecb7b0dcdc8da"", ""height"": 160, ""width"": 160}]",Billie Eilish,94,artist,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
{'spotify': 'https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C'},"{'href': None, 'total': 68666245}",[],https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C,0du5cEVh5yTK9QJze8zA0C,"[{""url"": ""https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd"", ""height"": 640, ""width"": 640}, {""url"": ""https://i.scdn.co/image/ab67616100005174c36dd9eb55fb0db4911f25dd"", ""height"": 320, ""width"": 320}, {""url"": ""https://i.scdn.co/image/ab6761610000f178c36dd9eb55fb0db4911f25dd"", ""height"": 160, ""width"": 160}]",Bruno Mars,94,artist,spotify:artist:0du5cEVh5yTK9QJze8zA0C
{'spotify': 'https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR'},"{'href': None, 'total': 104009692}","[""pop""]",https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR,66CXWjxzNUsdJxJ2JdwvnR,"[{""url"": ""https://i.scdn.co/image/ab6761610000e5eb40b5c07ab77b6b1a9075fdc0"", ""height"": 640, ""width"": 640}, {""url"": ""https://i.scdn.co/image/ab6761610000517440b5c07ab77b6b1a9075fdc0"", ""height"": 320, ""width"": 320}, {""url"": ""https://i.scdn.co/image/ab6761610000f17840b5c07ab77b6b1a9075fdc0"", ""height"": 160, ""width"": 160}]",Ariana Grande,91,artist,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
